Property,URL,Fields Count,building_name,building_address,city,country,postal_code,description,price_min,price_max,currency,cover_image,images,key_amenities,unit_types_summary,total_units,number_of_floors,elevator_available,application_link,application_method,lease_type,rental_method,furnished_options,in_unit_washer_dryer,ac_heating_type,bed_included,utilities_included,floor_plans,primary_contact_phone,shuttle_service
brooklyn-tower,https://thebrooklyntower.com/,9,Brooklyn Tower [medium],,,,,Silverstein Properties presents Brooklyn Tower. Designed with bold innovation by SHoP Architects ... [medium],,,,https://thebrooklyntower.com/app/uploads/2025/04/brooklyn-tower-hero-1920x1033.jpg [medium],[] [medium],[] [medium],"Studio, 1BR, 2BR, 3BR, 4BR [medium]",421 [medium],,,https://www.brooklyntowerrentals.com/ [medium],['Online'] [medium],,,,,,,,,,
campus-living-villages,https://www.campuslivingvillages.com/,5,Campus Living Villages: Student Accommodation | Campus Living Villages [medium],,,,,Find your ideal student home with Campus Living Villages. Our on-campus villages provide all-incl... [medium],,,,https://cdn.campuslivingvillages.com/public/HomePage/4/Image/01__FillMaxWzEyMDAsNjI3XQ.jpg [medium],['https://cdn.campuslivingvillages.com/public/HomePage/4/Image/01__FillMaxWzEyMDAsNjI3XQ.jpg'] [low],[] [medium],,,,,,,,,,,,,,,,
collegiate-ac,https://www.collegiate-ac.com/,4,Collegiate AC Award-winning Student Accommodation in UK & EU [medium],,,,,"Collegiate AC provides award-winning student accommodation across the UK, Spain and Portugal. Vie... [medium]",,,,https://www.collegiate-ac.com/propeller/uploads/sites/2/2019/09/collegiate-hero-news-1920x720.jpg [medium],['https://www.collegiate-ac.com/propeller/uploads/sites/2/2019/09/collegiate-hero-news-1920x720.j... [low],,,,,,,,,,,,,,,,,
estelle-new-haven,https://www.estellenewhaven.com/,8,Estelle New Haven | Modern Living Redefined [medium],19 Elm Street [high],New Haven [high],,,Discover your dream home in our exclusive collection of luxury apartments. [medium],,,,https://estellenewhaven.com/og-image.jpg [medium],['https://estellenewhaven.com/og-image.jpg'] [low],['Gym'] [medium],,,,,/contact [low],,,,,,,,,,,
fiat-house,https://www.fiathouse.com/,12,Fiat House [high],2100 NORTH CENTRAL ROAD [high],Fort Lee [high],USA [high],07024 [high],"AN INSPIRED COLLECTION OF BRAND NEW STUDIO, 1 AND 2 BEDROOM LUXURY RENTALS JUST MOMENTS FROM MANH... [medium]",,,,/_next/image?url=%2Fimages%2FWoman_Home_Res.png&w=3840&q=75 [low],"['/_next/image?url=%2Fimages%2Fupdate3.27.24%2FFiatHouse%2003-edit.jpg&w=3840&q=75', '/_next/imag... [medium]",[] [medium],"Studio, 1 and 2 Bedroom [medium]",,,,https://fiathouse.securecafe.com/onlineleasing/2100-north-central-rd-fl-llc/guestlogin.aspx [medium],['Online'] [medium],,,,,,,,,,
gotham-point,https://gothampoint.com/,9,Long Island City New Apartments for Rent | Gotham Point [medium],"1-15 57th Avenue, Long Island City, New York [high]",Long Island City [high],United States [high],,Brand new studio to 3-bedroom luxury apartments with premiere lifestyle amenities at Hunter's Poi... [medium],,,,https://gothampoint.com/wp-content/uploads/2024/02/Gotham_point_6-22_highres-16-scaled.jpg [medium],['https://gothampoint.com/wp-content/uploads/2024/02/GothamPoint_North_Models_highres-10-scaled.j... [medium],[] [medium],Studio to 3-bedroom [medium],,,,,,,,,,,,,,,
housing4u-ca,https://housing4u.ca,10,,,,Canada [high],,Discover comfortable and affordable rooms in the best locations [medium],1200 [low],1450 [low],,https://res.cloudinary.com/dhigd2c1x/image/upload/v1743515862/documents/67d317b34851b844ca2cb9c6/... [medium],['https://res.cloudinary.com/dhigd2c1x/image/upload/v1742139788/documents/67d317b34851b844ca2cb9c... [medium],['WiFi'] [medium],,,,,/rooms [low],['Online'] [medium],,Per Bedroom [medium],,,,,,,,
hudson-landing,https://hudson-landing.com/,11,Explore Our Hell's Kitchen Apartments | Hudson Landing [medium],561 Tenth Ave [high],New York [high],US [medium],10036 [high],"Find your home at Hudson Landing with modern Hell's Kitchen apartments in New York, NY. View  our... [medium]",,,,https://hudson-landing.com/assets/images/cache/hudson_landing_og-12975f285ff166d06b1e24f7191c4acb... [medium],['https://hudson-landing.com/assets/images/cache/hudson_landing_og-12975f285ff166d06b1e24f7191c4a... [low],"['Gym', 'Rooftop', 'Laundry', 'Parking'] [medium]",,,,,/schedule-a-tour/ [low],['Online'] [medium],,,,,,,,,,
iq-student,https://www.iqstudentaccommodation.com/,8,,,,UK [medium],,Find Your Perfect Student Accommodation in the UK [medium],,,,/sites/default/files/styles/large_5_2/public/2025-11/FinalLTM_Hero.png?itok=GHG5KzhJ [low],"['/sites/default/files/styles/large_5_2/public/2025-11/FinalLTM_Hero.png?itok=GHG5KzhJ', '/sites/... [medium]","['Gym', 'WiFi', 'Security', 'Bike Storage'] [medium]",,,,,https://www.iqstudentaccommodation.com/city-guides [medium],['Online'] [medium],,,,,,,"rent and all bills - including superfast WiFi, electricity and water bills [medium]",,,
journal-jc,https://www.journaljc.com/,8,The Journal [high],,Jersey City [high],,,"Sophisticated living in the heart of Jersey City. A premier collection of studio, 1, 2 and 3 bedr... [medium]",,,,/images/home/shutterstock_2435721719.jpg [low],"['/images/home/shutterstock_2435721719.jpg', '/images/home/woman-in-sunglasses-enjoying-luxury-va... [medium]",[] [medium],"studio, 1, 2 and 3 bedroom [medium]",,,,/availability [low],,,,,,,,,,,
journal-square-urby,https://www.urby.com/location/journal-square,12,Journal Square Urby | Luxury Jersey City Apartments [medium],,Jersey City [high],USA [high],,Journal Square Urby luxury apartments for rent have everything you need. Check out our new modern... [medium],,,,https://urby.com/urby-twitter-logo.png [medium],['https://urby.com/urby-twitter-logo.png'] [low],"['Gym', 'Rooftop'] [medium]","Studio, 1BR, 2BR, 3BR [medium]",,25 [medium],,https://www.urby.com/location/journal-square [medium],['Online'] [medium],,,Fully-furnished luxury apartments available on a monthly basis. [medium],,,,,,,
kipsbay-court,https://www.kipsbaycourt.com/,9,Kips Bay Court [medium],,Kips Bay [high],,,Welcome to the Kips Bay Court Site [medium],,,,https://uxp-pd-cms-gmfqdagrdcdrd0gk.a02.azurefd.net/media/gj1pzdpz/kipsbaycourt-neighborhoodview-... [medium],['https://uxp-pd-cms-gmfqdagrdcdrd0gk.a02.azurefd.net/media/gj1pzdpz/kipsbaycourt-neighborhoodvie... [low],"['Gym', 'Pet Friendly', 'Security'] [medium]","Studio, 1BR, 2BR, 3BR, 4BR [medium]",,,,https://www.kipsbaycourt.com/book-a-tour [medium],['Online'] [medium],,,,,,,,,,
maybury,https://themaybury.com/,13,Hudson Yards New Apartments for Rent | The Maybury [medium],550 Tenth Avenue [high],New York City [high],USA [high],,"Studio to two-bedroom new luxury rental apartments at 550 Tenth Avenue in Hudson Yards, NYC. Make... [medium]",3570 [low],8072 [low],USD [high],https://themaybury.com/wp-content/uploads/2024/09/The-Maybury-Preview-image.jpg [medium],['https://themaybury.com/wp-content/uploads/2024/09/The-Maybury-Preview-image.jpg'] [low],"['Rooftop', 'Gym'] [medium]","Studio, 1 Bedroom, 2 Bedroom [medium]",,,,/availability/ [low],,,,,,,,,,,
miramar,https://rentmiramar.com/,6,"New rental building Inwood, Manhattan | Miramar [medium]",,Manhattan [high],,,A brilliant new development nestled along the Harlem River in Upper Manhattan’s picturesque Inwoo... [medium],,,,https://rentmiramar.com/wp-content/uploads/2025/10/social-share-image.jpg [medium],['https://rentmiramar.com/wp-content/uploads/2025/10/social-share-image.jpg'] [low],['Rooftop'] [medium],,,,,,,,,,,,,,,,
newark-urby,https://www.urby.com/location/newark,10,Newark Urby | Brand New Luxury Apartments in Newark [medium],,Newark [high],,,"Newark Urby luxury apartments for rent have everything you need. Check out our new modern studio,... [medium]",,,,https://urby.com/urby-twitter-logo.png [medium],['https://urby.com/urby-twitter-logo.png'] [low],"['Gym', 'Rooftop', 'Study Room', 'Pet Friendly'] [medium]","Studio, 1BR, 2BR, 3BR [medium]",,16 [medium],,https://www.urby.com/location/newark [medium],['Online'] [medium],,,,,,,,,,
one-ten-jc,https://www.onetenjc.com/,13,One Ten [high],110 Hoboken Ave [high],Jersey City [high],US [high],07310 [high],"<h2>Luxury Apartments in Jersey City, NJ</h2>
<p>Welcome to One Ten, where luxury living reaches ... [high]",,,,"https://resource.rentcafe.com/image/upload/q_auto,f_auto/s3/2/70799/bne-one ten-photo gallery-12.jpg [high]","['https://resource.rentcafe.com/image/upload/q_auto,f_auto/s3/2/70799/bne-one ten-photo gallery-1... [high]","['Gym', 'Laundry', 'Pet Friendly'] [medium]","Studio, 1BR, 2BR [medium]",,,,https://www.onetenjc.com/ [medium],,,,,True [medium],,,,,(201) 659-0069 [high],
parker-towers,https://www.parkertowers.com/,9,Parker Towers [medium],,Forest Hills [high],,,Welcome to the Parker Towers Site [medium],,,,https://uxp-pd-cms-gmfqdagrdcdrd0gk.a02.azurefd.net/media/uxoparqc/parkertowers-exterior-flag-138... [medium],['https://uxp-pd-cms-gmfqdagrdcdrd0gk.a02.azurefd.net/media/uxoparqc/parkertowers-exterior-flag-1... [low],['Pet Friendly'] [medium],"Studio, 1BR, 2BR, 3BR, 4BR [medium]",,,,https://www.parkertowers.com/book-a-tour [medium],['Online'] [medium],,,,,,,,,,
ray-harlem,https://www.rayharlem.place/,8,Ray Harlem [medium],,Harlem [high],,,"Ray Harlem combines art, architecture, and design in a curated collection of apartments and ameni... [medium]",,,,https://cdn.sanity.io/images/khr5ki08/production/07cc278723a5f35f839855bf8014959e877ca982-5000x22... [medium],['https://cdn.sanity.io/images/khr5ki08/production/07cc278723a5f35f839855bf8014959e877ca982-5000x... [low],"['Bike Storage', 'Rooftop', 'Gym', 'Study Room'] [medium]",,,,,/apartments#floorplans [low],,,,,True [medium],,,,,,
riverside-blvd,https://liveriversideblvd.com/,7,New York apartments for rent | Riverside Boulevard [medium],,New York [high],,,"Riverside Boulevard in New York, NY offers Studio, 1, 2, or 3 bedroom apartments for rent. Browse... [medium]",,,,https://liveriversideblvd.com/assets/images/cache/og_image1-c4e9272d43109245ea3b1700a8f4006d.jpg [medium],['https://liveriversideblvd.com/assets/images/cache/og_image1-c4e9272d43109245ea3b1700a8f4006d.jpg'] [low],[] [medium],"Studio, 1BR, 2BR, 3BR [medium]",,,,,,,,,,,,,,,
sola-woodside,https://solawoodside.com/,6,SOLA Woodside [high],,"Woodside, Queens [high]",,,"Discover luxury urban living at SOLA, where contemporary interiors, exceptional amenities, and th... [medium]",,,,/images/home/building.jpg [low],,"['Parking', 'Bike Storage', 'Game Room'] [medium]",Studio to three-bedroom apartments [medium],,,,,,,,,,,,,,,
stuytown-pcv,https://www.stuytown.com/,7,Stuytown [medium],,Manhattan [high],,,StuyTown’s unique community gives residents the comfort and joys of suburbia while living in the ... [medium],,,,https://uxp-pd-cms-gmfqdagrdcdrd0gk.a02.azurefd.net/media/f3lfyeoj/pcvst_grounds_oval_016_hero4.jpeg [medium],['https://uxp-pd-cms-gmfqdagrdcdrd0gk.a02.azurefd.net/media/f3lfyeoj/pcvst_grounds_oval_016_hero4... [low],"['Gym', 'Parking', 'Study Room'] [medium]",,,,,https://www.stuytown.com/nyc-apartments-for-rent [medium],,,,,,,,,,,
terra-lic,https://www.terralic.com/,3,Terra [high],,,,,,,,,,[] [medium],[] [medium],,,,,,,,,,,,,,,,
the-axel,https://the-axel.com/,13,The Axel [high],545 Vanderbilt Ave [high],Brooklyn [high],USA [high],11238 [high],"From its perch at the intersection of three legendary Brooklyn neighborhoods, The Axel twists tow... [medium]",,,,https://the-axel.com/images/logo-new.svg [high],['https://the-axel.com/images/logo-new.svg'] [high],"['Gym', 'Pool', 'Laundry', 'Parking', 'Study Room', 'Rooftop', 'Pet Friendly', 'Furnished', 'WiFi... [medium]",Studio to 3 Bedrooms [medium],,30 [medium],,https://the-axel.com/ [medium],,,,,,,,,,718 690 2935 [high],
the-bexley,https://www.livebexley.com/,8,Home - The Bexley [medium],,Hoboken [high],USA [high],,"The Bexley offers modern apartment homes in the center of Hoboken, NJ, featuring contemporary sty... [medium]",,,,,[] [medium],[] [medium],,,,,https://www.livebexley.com/contact/ [medium],['Online'] [medium],,,,,,,,,,
the-biltmore-ny,https://thebiltmoreny.com/,9,"The Biltmore is a pet-friendly apartment community in New York, NY [medium]",,New York [high],USA [high],,"City living has turned luxe lifestyle with newly renovated studio, one- and two-bedroom apartment... [medium]",,,,https://thebiltmoreny.com/assets/images/cache/opengraph_the_biltmore_2072-9cc8ebb933bf1c7b4603c6b... [medium],['https://thebiltmoreny.com/assets/images/cache/opengraph_the_biltmore_2072-9cc8ebb933bf1c7b4603c... [low],['Pet Friendly'] [medium],"Studio, 1BR, 2BR [medium]",,,,/floorplans/ [low],,,,,,,,,,,
the-brook-bk,https://brookbk.com/,11,The Brook [high],567 Fulton St [high],Brooklyn [high],United States [high],11201 [high],Beautifully-designed studio to two-bedroom rental homes in the heart of Downtown Brooklyn. [high],,,,https://brookbk.com/images/share-image.jpg [medium],['https://brookbk.com/images/share-image.jpg'] [low],"['Gym', 'Pool', 'Game Room', 'Rooftop'] [medium]",Studio to two-bedroom [medium],,,,https://brookbk.com [medium],,,,,,,,,,,
the-collective-london,https://www.thecollective.com/,8,The Collective [high],,West London [high],,,"Discover a better way of living. Enjoy your own studio apartment, share extraordinary living and ... [medium]",,,,https://assets-us-01.kc-usercontent.com:443/9a170b3a-a06f-006a-7810-f1c91cdd7d0b/e0de3b5d-47de-44... [medium],['https://assets-us-01.kc-usercontent.com:443/9a170b3a-a06f-006a-7810-f1c91cdd7d0b/011b9059-60e5-... [medium],"['Gym', 'WiFi', 'Laundry', 'Game Room'] [medium]",Studio [medium],,,,,,,,,,,,All inclusive bill [medium],,,
the-devan,https://thedevan.com/,8,The Devan | Apartments in Jersey City [medium],,Jersey City [high],,,"With distinguished design, state-of-the-art amenities, and modern residences, the Devan brings a ... [medium]",,,,https://thedevanstg.wpenginepowered.com/wp-content/uploads/2024/03/feature.png [medium],['https://thedevanstg.wpenginepowered.com/wp-content/uploads/2024/03/feature.png'] [low],"['Gym', 'Pool', 'Rooftop', 'Pet Friendly'] [medium]","Studio, 1BR, 2BR, 3BR [medium]",,,,https://thedevan.com/availability/ [medium],,,,,,,,,,,
the-enclave-jc,https://www.theenclavejc.com/,12,The Enclave [high],675 Monmouth Street [high],Jersey City [high],US [high],07310 [high],"<h2 class=""text-white pb-2"">Luxury Apartments in Jersey City, NJ</h2>
<p>Luxury finds its finest ... [high]",,,,"https://resource.rentcafe.com/image/upload/q_auto,f_auto/s3/2/70799/bne-the enclave-amenities-2.jpg [high]","['https://resource.rentcafe.com/image/upload/q_auto,f_auto/s3/2/70799/bne-the enclave-amenities-2... [high]","['Gym', 'Pool', 'Laundry', 'Rooftop', 'Game Room'] [medium]","Studio, one, and two-bedroom [medium]",,,,https://www.theenclavejc.com/ [medium],,,,,,,,,,(201) 798-6750 [high],
the-hendrix-jc,https://thehendrixjc.com/,11,The Hendrix | Jersey City Luxury Rentals | Studio - 3 Bedroom Residences [medium],180 Morgan Street [high],Jersey City [high],USA [high],,"Culture, arts, & amenities moments from the PATH. An original lifestyle experience with spacious ... [medium]",,,,https://www.thehendrixjc.com/images/CA1_5482.webp [medium],['https://www.thehendrixjc.com/images/CA1_5482.webp'] [low],[] [medium],Studio - 3 Bedroom Residences [medium],,,,https://arch.app/thehendrixjc/tours/book/?advisitid=b5c18246-26a8-4bc1-23e4-e91100f418a4 [medium],['Online'] [medium],,,,,,,,,,
the-max-606w57,https://tfc.com/residential/606w57/new-york-luxury-no-fee-apartments,27,The Max | Midtown West | No Fee Apartments and Office Spaces and Retail [medium],606 W 57th St [high],New York [high],USA [high],NY [medium],The Max at 606 West 57th St offers modern rentals with luxury amenities including a full-sized ba... [medium],3415 [low],7505 [low],USD [high],https://tfc.com/img/tfc-logo-200x200.jpg [medium],['https://tfc.com/img/tfc-logo-200x200.jpg'] [low],"['Gym', 'Laundry', 'Parking', 'Study Room', 'Rooftop', 'Pet Friendly', 'WiFi', 'Security', 'Bike ... [medium]","Studio, 1BR, 2BR, 3BR [medium]",1028 [medium],44 [medium],True [medium],/new-york-luxury-no-fee-apartments/606w57-rentals [low],['Offline'] [medium],Both [medium],Per Unit [medium],Furnished options description not found [medium],True [medium],Other [medium],No [medium],WiFi [medium],Floor plan descriptions not found [medium],,True [medium]
unite-students,https://www.unitestudents.com/,9,,,,United Kingdom [high],,"The UK's leading student accommodation provider, helping 65,000 students find a place to stay and... [medium]",,,GBP [high],"https://www.storylink.us/cdn-cgi/image/w=3840,q=90,f=webp/https://us-cdn.storylink.us/66fe2618-05... [medium]","['https://www.storylink.us/cdn-cgi/image/w=3840,q=90,f=webp/https://us-cdn.storylink.us/ffe1795c-... [medium]","['Gym', 'Laundry', 'Study Room', 'Game Room', 'Security'] [medium]",,,,,/property-search?return=true&filtersOpen=true [low],['Online'] [medium],,,,,,,All bills included [medium],,,
vista-65,https://vista65.com/,12,Vista65 [medium],97-12 65TH ROAD [high],Rego Park [high],USA [high],11374 [high],"Rising 22 stories over the prime nexus of Forest Hills and Rego Park, Vista65 is reshaping the sk... [medium]",,,,//via.placeholder.com/1 [low],['//via.placeholder.com/1'] [high],"['Gym', 'Parking', 'Bike Storage'] [medium]","Studio, 1-bedroom, 2-bedroom [medium]",,22 [medium],,https://vista65.weblium.site/application [medium],,,,,,,,,,,
