Property,URL,Fields Count,Source Breakdown,building_name,building_address,city,country,postal_code,description,price_min,price_max,currency,cover_image,images,key_amenities,unit_types_summary,total_units,number_of_floors,elevator_available,application_link,application_method,lease_type,rental_method,furnished_options,in_unit_washer_dryer,ac_heating_type,bed_included,utilities_included,floor_plans,primary_contact_phone,shuttle_service
7-seventy-house,https://7seventyhouse.com/,12,JLD=0 OG=0 CSS=4 Geo=0 LLM=8,7 Seventy House [high],"770 Jackson Street
            Hoboken, NJ 07030
          
          
            7SeventyhouseLSG@greystar.com
    ..." [medium],Hoboken [high],United States [high],07030 [high],A brand new residential collection that is more a destination than simply a home. A way of life that is more than jus... [medium],,,,,"[""images/icons/rightarrow.svg"",""images/icons/leftarrow.svg""]" [medium],"[""Gym"",""Pool"",""Pet Friendly""]" [medium],"Studio, One, Two and Three Bedroom Homes" [medium],,,,,,,,,,,,,,201.795.0770 [medium],true [medium]
9-homestead,https://www.cmpnd.com/residential/9-homestead,5,JLD=0 OG=0 CSS=3 Geo=0 LLM=2,Luxury Homestead Apartments [high],,,,,,,,,https://images.squarespace-cdn.com/content/v1/5de98290253e82167b4f30c1/7630af7b-beca-4742-8b9a-f8da2d2cbdd9/website-E... [medium],"[""https://images.squarespace-cdn.com/content/v1/5de98290253e82167b4f30c1/7630af7b-beca-4742-8b9a-f8da2d2cbdd9/website..." [medium],,,,,,#apply [low],,,,,,,,,,5513093007 [medium],
bisby-newport,https://www.bisby.com/,16,JLD=10 OG=2 CSS=0 Geo=0 LLM=4,Bisby at Newport [high],30 Park Lane North [high],Jersey City [high],[object Object] [high],07310 [high],"Head Line Goes here
Body and SEO copy goes here
remove this line to publish -->" [high],3537 [low],6207 [low],USD [high],https://sxxweb7cdn.cachefly.net/img/thumbnail.aspx?p=/common/uploads/client/1091/media/82790021-177d-42fc-96ca-36660f... [medium],"[""https://sxxweb7cdn.cachefly.net/img/thumbnail.aspx?p=/common/uploads/client/1091/media/82790021-177d-42fc-96ca-3666..." [low],"[""Lounge"",""Lobby"",""Co-working Space"",""golf-simulator"",""Rooftop Deck"",""Outdoor Park and Playground"",""Fitness Center"",""..." [low],"Studio, 1BR, 2BR, 3BR, 4BR" [medium],1234 [low],,,https://www.bisby.com [medium],,,,,,,,,,(201) 243-7550 [high],
brooklyn-tower,https://thebrooklyntower.com/,7,JLD=2 OG=0 CSS=0 Geo=0 LLM=5,Brooklyn Tower [high],,,,,Silverstein Properties presents Brooklyn Tower. Designed with bold innovation by SHoP Architects and featuring artful... [medium],,,,https://thebrooklyntower.com/app/uploads/2025/04/brooklyn-tower-hero-1920x1033.jpg [medium],"[""https://thebrooklyntower.com/app/uploads/2025/04/brooklyn-tower-hero-1920x1033.jpg""]" [medium],,"Studio, 1BR, 2BR, 3BR, 4BR" [medium],421 [medium],,,https://thebrooklyntower.com/ [medium],,,,,,,,,,,
campus-living-villages,https://www.campuslivingvillages.com/,11,JLD=7 OG=2 CSS=0 Geo=1 LLM=2,Campus Living Villages [high],"Level 2, Suite 2.04, 55 Miller Street" [high],Pyrmont [high],Australia [high],2009 [high],"Campus Living Villages is one of the world’s leading providers of on-campus accommodation. We operate and manage 27,1..." [high],,,AUD [medium],https://cdn.campuslivingvillages.com/public/HomePage/4/Image/01__FillMaxWzEyMDAsNjI3XQ.jpg [medium],"[""https://cdn.campuslivingvillages.com/public/HomePage/4/Image/01__FillMaxWzEyMDAsNjI3XQ.jpg""]" [low],,,,,,https://campuslivingvillages.com/ [medium],"[""Online""]" [medium],,,,,,,,,,
casita-living,https://casitaliving.com/,FAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collegiate-ac,https://www.collegiate-ac.com/,4,JLD=0 OG=4 CSS=0 Geo=0 LLM=0,Collegiate AC Award-winning Student Accommodation in UK & EU [medium],,,,,"Collegiate AC provides luxury student accommodation across Europe, including UK, Spain and Portugal. Explore premium ..." [medium],,,,https://www.collegiate-ac.com/propeller/uploads/sites/2/2019/09/collegiate-hero-news-1920x720.jpg [medium],"[""https://www.collegiate-ac.com/propeller/uploads/sites/2/2019/09/collegiate-hero-news-1920x720.jpg""]" [low],,,,,,,,,,,,,,,,,
estelle-new-haven,https://www.estellenewhaven.com/,10,JLD=0 OG=4 CSS=2 Geo=0 LLM=4,Estelle New Haven | Modern Living Redefined [medium],19 Elm Street [high],New Haven [high],United States [high],,Discover your dream home in our exclusive collection of luxury apartments. [medium],,,,https://estellenewhaven.com/og-image.jpg [medium],"[""https://estellenewhaven.com/og-image.jpg""]" [low],"[""Gym""]" [medium],,,,,,,,,,,,,,,+12037807700 [medium],
fiat-house,https://www.fiathouse.com/,12,JLD=0 OG=0 CSS=2 Geo=0 LLM=10,Fiat House [high],"2100 NORTH CENTRAL ROAD, FORT LEE, NJ 07024" [medium],FORT LEE [high],United States [high],07024 [high],"AN INSPIRED COLLECTION OF BRAND NEW STUDIO, 1 AND 2 BEDROOM LUXURY RENTALS JUST MOMENTS FROM MANHATTAN." [medium],,,,/_next/image?url=%2Fimages%2FWoman_Home_Res.png&w=3840&q=75 [low],"[""/_next/image?url=%2Fimages%2Fupdate3.27.24%2FFiatHouse%2003-edit.jpg&w=3840&q=75"",""/_next/image?url=%2Fimages%2Fshu..." [medium],,"Studio, 1 and 2 Bedroom" [medium],,,,https://fiathouse.securecafe.com/onlineleasing/2100-north-central-rd-fl-llc/guestlogin.aspx [medium],"[""Online""]" [medium],,,,,,,,,201.231.7484 [medium],
gotham-point,https://gothampoint.com/,12,JLD=3 OG=0 CSS=2 Geo=0 LLM=7,Long Island City New Apartments for Rent | Gotham Point [high],1-15 57th Avenue [high],Long Island City [high],United States [high],,"Brand new studio to 3-bedroom luxury apartments with premiere lifestyle amenities at Hunter's Point South, Long Islan..." [high],,,,https://gothampoint.com/wp-content/uploads/2024/02/Gotham_point_6-22_highres-16-scaled.jpg [medium],"[""https://gothampoint.com/wp-content/uploads/2024/02/Gotham_point_6-22_highres-16-scaled.jpg"",""https://gothampoint.co..." [medium],,Studio to 3-bedroom [medium],,,,https://gothampoint.com/ [medium],"[""Offline""]" [medium],,,,,,,,,646.867.8933 [medium],
haus25-jc,https://verisresidential.com/jersey-city-nj-apartments/haus25/,20,JLD=5 OG=0 CSS=4 Geo=0 LLM=11,Haus25 | Premium Jersey City Apartments | Veris Residential [high],"25 Christopher Columbus Drive, 
        Jersey City, NJ 07302" [medium],Jersey City [high],United States [high],07302 [high],"Welcome to Haus25, stunning apartments in Jersey City with resort-style amenities & spectacular views, moments from N..." [high],3315 [low],10170 [low],USD [high],[object Object] [high],"[{""@id"":""https://verisresidential.com/jersey-city-nj-apartments/haus25/#primaryimage""}]" [high],"[""Gym"",""Pool"",""Laundry"",""Parking"",""Study Room"",""Rooftop"",""Pet Friendly"",""Bike Storage"",""Game Room""]" [medium],"Studio, 1 Bed, 2 Bed" [medium],,,,https://verisresidential.com/jersey-city-nj-apartments/haus25/ [medium],"[""Online""]" [medium],,,,true [medium],Individual bedroom control [medium],,"Water, sewer and trash are included in the monthly cost of rent." [medium],,(888) 828-0424 [medium],
housing4u-ca,https://housing4u.ca,14,JLD=0 OG=0 CSS=1 Geo=2 LLM=11,H4U - Housing For You [high],,,Canada [medium],,Find Your Perfect Room in Canada. Discover comfortable and affordable rooms in the best locations. [medium],1200 [low],1450 [low],CAD [medium],https://res.cloudinary.com/dhigd2c1x/image/upload/v1743515862/documents/67d317b34851b844ca2cb9c6/1743515862395-hrpto6... [medium],"[""https://res.cloudinary.com/dhigd2c1x/image/upload/v1742139788/documents/67d317b34851b844ca2cb9c6/1742139788482-32qg..." [medium],,"Flex, Deluxe" [medium],1228 [medium],,,/my-bookings [low],"[""Online""]" [medium],Individual [medium],Per Bedroom [medium],,,,,,,,
hudson-landing,https://hudson-landing.com/,13,JLD=0 OG=4 CSS=2 Geo=0 LLM=7,Explore Our Hell's Kitchen Apartments | Hudson Landing [medium],"561 Tenth Avenue, New York, NY 10036" [medium],New York [high],United States [high],10036 [high],"Find your home at Hudson Landing with modern Hell's Kitchen apartments in New York, NY. View  our gallery, amenities,..." [medium],,,,https://hudson-landing.com/assets/images/cache/hudson_landing_og-12975f285ff166d06b1e24f7191c4acb.jpg [medium],"[""https://hudson-landing.com/assets/images/cache/hudson_landing_og-12975f285ff166d06b1e24f7191c4acb.jpg""]" [low],"[""Gym"",""Rooftop"",""Laundry"",""Parking""]" [medium],Find Your Floorplan [medium],,,,https://hudson-landing.com/schedule-a-tour/ [medium],"[""Online""]" [medium],,,,,,,,,9297346437 [medium],
iq-student,https://www.iqstudentaccommodation.com/,10,JLD=0 OG=0 CSS=2 Geo=0 LLM=8,iQ Student Accommodation [high],,,United Kingdom [high],,Find Your Perfect Student Accommodation in the UK [medium],,,,https://www.iqstudentaccommodation.com/sites/default/files/styles/large_5_2/public/2025-11/FinalLTM_Hero.png?itok=GHG... [medium],"[""https://www.iqstudentaccommodation.com/sites/default/files/styles/square/public/2025-11/All%20inclusive_update.jpg?..." [medium],"[""Gym"",""Laundry"",""Bike Storage"",""WiFi"",""Security""]" [medium],,,,,/corporate-group-bookings [low],"[""Online""]" [medium],,,,,,,"rent and all bills - including superfast WiFi, electricity and water bills" [medium],,,
journal-jc,https://www.journaljc.com/,11,JLD=0 OG=0 CSS=3 Geo=0 LLM=8,The Journal [high],"BUILDING ADDRESS:36 Journal Square PlazaJersey City, NJ 07306" [medium],Jersey City [high],United States [high],07306 [high],"Sophisticated living in the heart of Jersey City. A premier collection of studio, 1, 2 and 3 bedroom rental apartment..." [medium],,,,https://example.com/images/home/shutterstock_2435721719.jpg [medium],"[""https://example.com/images/home/shutterstock_2435721719.jpg"",""https://example.com/images/home/woman-in-sunglasses-e..." [medium],,"Studio, 1, 2 and 3 bedroom" [medium],,,,,,,,,,,,,,15512092121 [medium],
journal-square-urby,https://www.urby.com/location/journal-square,12,JLD=0 OG=4 CSS=1 Geo=0 LLM=7,Journal Square Urby | Luxury Jersey City Apartments [medium],,Jersey City [high],United States [high],,"Journal Square Urby luxury apartments for rent have everything you need. Check out our new modern studio, one, two, a..." [medium],,,,https://urby.com/urby-twitter-logo.png [medium],"[""https://urby.com/urby-twitter-logo.png""]" [low],"[""Gym"",""Pool"",""Rooftop"",""Pet Friendly""]" [medium],"Studio, 1BR, 2BR, 3BR" [medium],,25 [medium],,https://www.urby.com/location/journal-square [medium],,,,Fully-furnished luxury apartments available on a monthly basis [medium],,,,,,973-554-3165 [medium],
kipsbay-court,https://www.kipsbaycourt.com/,14,JLD=0 OG=4 CSS=3 Geo=0 LLM=7,Kips Bay Court [medium],"490 Second Avenue, New York, NY 10016833.292.0888livekips@beamliving.com" [medium],New York [high],United States [high],10016 [high],Welcome to the Kips Bay Court Site [medium],,,,https://uxp-pd-cms-gmfqdagrdcdrd0gk.a02.azurefd.net/media/gj1pzdpz/kipsbaycourt-neighborhoodview-1000x750.jpg [medium],"[""https://uxp-pd-cms-gmfqdagrdcdrd0gk.a02.azurefd.net/media/gj1pzdpz/kipsbaycourt-neighborhoodview-1000x750.jpg""]" [low],"[""Gym"",""Pet Friendly""]" [medium],"Studio, 1BR, 2BR, 3BR, 4BR" [medium],,,,https://www.kipsbaycourt.com/book-a-tour [medium],"[""Online""]" [medium],,,,,,,,,833.292.0888 [medium],
link-apartments-qpn,https://www.linkapartmentsqpn.com/,13,JLD=9 OG=0 CSS=0 Geo=0 LLM=4,Link Apartments® QPN [high],41-46 27th Street [high],Long Island City [high],US [high],11101 [high],"<p>
<b>A life of unparalleled convenience awaits.</b><br>
<br>Link Apartments®&nbsp;QPN, Long Island City’s rental bu..." [high],,,,"https://resource.rentcafe.com/image/upload/q_auto,f_auto/s3/2/3585/linkqpnhorizontalwhite(1).png" [medium],"[""2/3585/shoootin-photo-23(15).jpg"",""2/3585/shoootin-photo-13(14).jpg"",""2/3585/shoootin-photo-1(20).jpg""]" [high],"[""Gym"",""Pool"",""Laundry"",""Game Room""]" [medium],"Studio, 1BR, 2BR" [medium],,,,https://www.linkapartmentsqpn.com/ [medium],,,,,true [medium],,,,,(718) 550-4715 [high],
lumen-lic,https://www.lumenlic.com/,6,JLD=0 OG=0 CSS=3 Geo=0 LLM=3,Lumen [high],,Long Island City [high],,,New Luxury High Rise Apartments & Retail [medium],3000 [low],7500 [low],,,,,,,,,,,,,,,,,,,2124700846 [medium],
lyra-nyc,https://lyranyc.com/,12,JLD=0 OG=0 CSS=3 Geo=0 LLM=9,Lyra NYC [high],"555 West 38th Street
            New York, NY 10018
            212.706.1555
            Lyra.Leasing@Rockrose.com" [medium],New York [high],United States [high],10018 [high],"A thoughtfully considered collection of functional spaces and breathtaking details, designed from the ground up to ha..." [medium],,,,images/BUILDING/IMG_2495.jpg [low],"[""images/BUILDING/IMG_2495.jpg"",""images/HOMEPAGE/302 Living.jpg"",""images/web/Roof_Deck_Pano.jpg"",""images/HOMEPAGE/wat..." [medium],,"Studio, 1 & 2 Bedroom" [medium],,,,,"[""Offline""]" [medium],,,,,,,,,212-706-1555 [medium],
malt-drive,https://maltdrive.com/,2,JLD=0 OG=0 CSS=0 Geo=0 LLM=2,Malt Dr Modern Apartments [high],,Hunter's Point South [high],,,,,,,,,,,,,,,,,,,,,,,,,
maybury,https://themaybury.com/,16,JLD=5 OG=0 CSS=4 Geo=0 LLM=7,Hudson Yards New Apartments for Rent | The Maybury [high],550 Tenth Avenue [high],New York [high],United States [high],,"Studio to two-bedroom new luxury rental apartments at 550 Tenth Avenue in Hudson Yards, NYC. Make your appointment to..." [high],3478 [low],8045 [low],USD [high],[object Object] [high],"[{""@id"":""https://themaybury.com/#primaryimage""}]" [high],"[""Rooftop"",""Gym""]" [medium],"Studio, 1 Bedrooms, 2 Bedrooms" [medium],,,,https://themaybury.com/ [medium],"[""Online""]" [medium],,,,,,,,,+16468678935 [medium],
mercedes-house,https://www.mercedeshouseny.com/,15,JLD=0 OG=4 CSS=6 Geo=0 LLM=5,Hell’s Kitchen NYC Luxury Apartments | Mercedes House [medium],"550 West 54th StreetManhattan, NY 10019" [medium],New York [high],United States [high],10019 [high],Mercedes House is a luxury residential skyscraper in Midtown's Hell’s Kitchen offering unobstructed views of the Huds... [medium],3750 [low],5850 [low],USD [high],https://mercedeshouseny.com/images/home_hero_background.jpg [medium],"[""https://mercedeshouseny.com/images/home_hero_background.jpg""]" [low],,"Studio / Alcove Studio, 1 Bedroom, 1 Bedroom + Home Office, 2 Bedroom" [medium],,,,https://www.on-site.com/apply/property/111692/style/twoTrees/ [medium],,,,,,,,,,6467973666 [medium],
miramar,https://rentmiramar.com/,6,JLD=5 OG=0 CSS=1 Geo=0 LLM=0,"New rental building Inwood, Manhattan | Miramar" [high],,,,,A brilliant new development nestled along the Harlem River in Upper Manhattan’s picturesque Inwood neighborhood. [high],,,,[object Object] [high],"[{""@id"":""https://rentmiramar.com/#primaryimage""}]" [high],,,,,,https://rentmiramar.com/ [medium],,,,,,,,,,,
newark-urby,https://www.urby.com/location/newark,11,JLD=0 OG=4 CSS=1 Geo=0 LLM=6,Newark Urby | Brand New Luxury Apartments in Newark [medium],,Newark [high],,,"Newark Urby luxury apartments for rent have everything you need. Check out our new modern studio, one, two, and three..." [medium],,,,https://urby.com/urby-twitter-logo.png [medium],"[""https://urby.com/urby-twitter-logo.png""]" [low],"[""Gym"",""Rooftop"",""Study Room"",""Pet Friendly""]" [medium],"Studio, 1BR, 2BR, 3BR" [medium],,16 [medium],,https://www.urby.com/location/newark [medium],"[""Online""]" [medium],,,,,,,,,862-418-3888 [medium],
one-manhattan-square,https://onemanhattansquare.com/,11,JLD=5 OG=0 CSS=2 Geo=0 LLM=4,One Manhattan Square | Lower East Side Apartments For Sale [high],225 Cherry St [high],Manhattan [high],United States [high],,"Located on Downtown Manhattan’s waterfront, this striking 800-foot-tall glass tower features luxury condominium resid..." [high],,,,[object Object] [high],"[{""@id"":""https://onemanhattansquare.com/#/schema/logo/image/""}]" [high],,,,,,https://onemanhattansquare.com/ [medium],"[""Online""]" [medium],,,,,,,,,1-212-252-1560 [medium],
one-ten-jc,https://www.onetenjc.com/,14,JLD=10 OG=0 CSS=0 Geo=0 LLM=4,One Ten [high],110 Hoboken Ave [high],Jersey City [high],US [high],07310 [high],"<h2>Luxury Apartments in Jersey City, NJ</h2>
<p>Welcome to One Ten, where luxury living reaches new heights! Nestled..." [high],,,,"https://resource.rentcafe.com/image/upload/q_auto,f_auto/s3/2/70799/bne-one ten-photo gallery-12.jpg" [high],"[""https://resource.rentcafe.com/image/upload/q_auto,f_auto/s3/2/70799/bne-one ten-photo gallery-12.jpg""]" [high],"[""Gym"",""Pet Friendly""]" [medium],"Studio, 1BR, 2BR" [medium],,,,https://www.onetenjc.com/ [medium],"[""Online""]" [medium],,,,true [medium],,,,,(201) 659-0069 [high],
parker-towers,https://www.parkertowers.com/,13,JLD=0 OG=4 CSS=3 Geo=0 LLM=6,Parker Towers [medium],"104-20 Queens Boulevard Forest Hills, NY 11375833.292.0889liveparker@beamliving.com" [medium],Forest Hills [high],United States [high],11375 [high],Welcome to the Parker Towers Site [medium],,,,https://uxp-pd-cms-gmfqdagrdcdrd0gk.a02.azurefd.net/media/uxoparqc/parkertowers-exterior-flag-1380x600.jpeg [medium],"[""https://uxp-pd-cms-gmfqdagrdcdrd0gk.a02.azurefd.net/media/uxoparqc/parkertowers-exterior-flag-1380x600.jpeg""]" [low],"[""Pet Friendly""]" [medium],"Studio, 1, 2, 3, 4" [medium],,,,https://www.parkertowers.com/book-a-tour [medium],,,,,,,,,,833.292.0889 [medium],
ray-harlem,https://www.rayharlem.place/,11,JLD=0 OG=4 CSS=3 Geo=0 LLM=4,Ray Harlem [medium],corner of 125th Street and 5th Avenue [high],Harlem [high],United States [high],,"Ray Harlem combines art, architecture, and design in a curated collection of apartments and amenities located at 125t..." [medium],2500 [low],6000 [low],,https://cdn.sanity.io/images/khr5ki08/production/07cc278723a5f35f839855bf8014959e877ca982-5000x2235.jpg [medium],"[""https://cdn.sanity.io/images/khr5ki08/production/07cc278723a5f35f839855bf8014959e877ca982-5000x2235.jpg""]" [low],"[""Bike Storage"",""Rooftop"",""Gym""]" [medium],,,,,,,,,,,,,,,,
riverside-blvd,https://liveriversideblvd.com/,10,JLD=0 OG=4 CSS=2 Geo=0 LLM=4,New York apartments for rent | Riverside Boulevard [medium],"140 & 160 Riverside BoulevardNew York, NY 10069" [medium],New York [high],United States [high],10069 [high],"Riverside Boulevard in New York, NY offers Studio, 1, 2, or 3 bedroom apartments for rent. Browse the gallery, explor..." [medium],,,,https://liveriversideblvd.com/assets/images/cache/og_image1-c4e9272d43109245ea3b1700a8f4006d.jpg [medium],"[""https://liveriversideblvd.com/assets/images/cache/og_image1-c4e9272d43109245ea3b1700a8f4006d.jpg""]" [low],,"Studio, 1BR, 2BR, 3BR" [medium],,,,,,,,,,,,,,9082749403 [medium],
sable-jc,https://verisresidential.com/jersey-city-nj-apartments/sable/,19,JLD=5 OG=0 CSS=4 Geo=0 LLM=10,Sable | Apartments in Jersey City | Veris Residential [high],"200 Greene Street, 
        Jersey City, NJ 07311" [medium],Jersey City [high],United States [high],07311 [high],"Discover luxury living at Sable, offering premium apartments in Jersey City." [high],2940 [low],5435 [low],USD [high],[object Object] [high],"[{""@id"":""https://verisresidential.com/jersey-city-nj-apartments/sable/#primaryimage""}]" [high],"[""Gym"",""Pool"",""Parking"",""Rooftop"",""Pet Friendly"",""Bike Storage""]" [medium],"Studio, 1 Bed, 2 Bed" [medium],,,,https://verisresidential.com/jersey-city-nj-apartments/sable/ [medium],"[""Online""]" [medium],,,,true [medium],Individual climate control systems [low],,Trash is included in the monthly cost of rent. [medium],,(855) 770-5103 [medium],
silver-towers,https://silvertowers.com/,6,JLD=0 OG=0 CSS=4 Geo=0 LLM=2,Silver Towers [high],,NYC [high],,,,3400 [low],6650 [low],,,,,,,,,,,,,,,,,,,+1.212.473.4242 [medium],
sola-woodside,https://solawoodside.com/,11,JLD=0 OG=0 CSS=2 Geo=0 LLM=9,SOLA Woodside [high],"72-01 Queens BLVD, Queens, NY 11377
                    info@solawoodside.com" [medium],Woodside [high],United States [high],11377 [high],"Discover luxury urban living at SOLA, where contemporary interiors, exceptional amenities, and the vibrant neighborho..." [medium],,,,/images/home/building.jpg [low],"[""/images/home/building.jpg""]" [medium],"[""Parking"",""Bike Storage"",""Game Room"",""Pet Friendly""]" [medium],"Studio, 1BR, 2BR, 3BR" [medium],,,,,,,,,,,,,,,
soma-nyc,https://somanyc.com/,8,JLD=5 OG=0 CSS=1 Geo=0 LLM=2,SoMA - Luxury Apartments in the Financial District [high],,,,,"Discover SoMA, a collection of luxury apartments, standard-setting amenities, and communal programming well connected..." [high],,,,[object Object] [high],"[{""@id"":""https://somanyc.com/#primaryimage""}]" [high],"[""Pool"",""Rooftop"",""Game Room""]" [medium],,,,,https://somanyc.com/ [medium],"[""Online""]" [medium],,,,,,,,,917-924-1359 [medium],
